bundle,资产路径,类型,形状,行数,列数,有CSV
resources,configs/skin/default/skin_1035,cc.JsonAsset,对象字典,51,13,是
resources,configs/skin/default/skin_1036,cc.JsonAsset,对象字典,51,13,是
resources,configs/skin/default/skin_1037,cc.JsonAsset,对象字典,51,13,是
resources,configs/skin/default/skin_1038,cc.JsonAsset,对象字典,51,13,是
resources,configs/skin/default/skin_1039,cc.JsonAsset,对象字典,51,13,是
resources,configs/skin/randomPool/RandomSkinColorBigDiff,cc.JsonAsset,对象数组,19,8,是
resources,configs/skin/randomPool/RandomSkinDeleteLessUse,cc.JsonAsset,对象数组,30,8,是
resources,configs/skin/randomPool/RandomSkinPool,cc.JsonAsset,对象数组,40,8,是
resources,configs/skin/randomPool/achieveSkinPool,cc.JsonAsset,对象数组,36,9,是
resources,configs/skin/randomPool/defultRandomOlayOne,cc.JsonAsset,对象数组,1,8,是
resources,configs/skin/randomSequencePool/skinList_three,cc.JsonAsset,对象数组,39,2,是
resources,configs/skin/randomSequencePool/skinList_two,cc.JsonAsset,对象数组,39,2,是
resources,configs/skin/skinSystemPool/SkinPool_achieveUnLock,cc.JsonAsset,对象数组,40,9,是
resources,configs/skin/skinSystemPool/SkinPool_chaosUnLock,cc.JsonAsset,对象数组,40,9,是
resources,configs/skin/skinSystemPool/SkinPool_loginUnLock,cc.JsonAsset,对象数组,40,8,是
resources,configs/skin/skinSystemPool/SkinPool_roundUnLock,cc.JsonAsset,对象数组,40,8,是
resources,configs/skin/skinSystemPool/SkinPool_scoreUnLock,cc.JsonAsset,对象数组,40,8,是
resources,configs/skin/skinSystemPool/SkinPool_selectBeatiful,cc.JsonAsset,对象数组,15,8,是
resources,configs/skin/skinSystemPool/SkinPool_selectDiff,cc.JsonAsset,对象数组,19,8,是
resources,configs/skin/skinSystemPool/SkinPool_shareUnLock,cc.JsonAsset,对象数组,40,8,是
resources,configs/skin/skinSystemPool/defultSkinPool,cc.JsonAsset,对象数组,40,9,是
resources,configs/skin/skinSystemPool/defultSkinPool_allUnLock,cc.JsonAsset,对象数组,40,8,是
resources,lang/configs/multiLangConfig,cc.JsonAsset,对象字典,3,4,是
sand_mini,new/json/sandalgo,cc.JsonAsset,对象字典,22,39,是
sand_mini,new/json/scorerate,cc.JsonAsset,对象字典,123,11,是
sand_mini,new/json/triggeralgo,cc.JsonAsset,对象字典,9,10,是
sandcrush,res/json/algotype,cc.JsonAsset,对象字典,19,5,是
sandcrush,res/json/blockattr,cc.JsonAsset,对象字典,178,6,是
sandcrush,res/json/constant,cc.JsonAsset,对象字典,7,4,是
sandcrush,scripts/idea/ChristmasTree,cc.JsonAsset,字典,5,,
sandcrush,scripts/idea/ChristmasTree2,cc.JsonAsset,字典,5,,
sandcrush,scripts/idea/ChristmasTree3,cc.JsonAsset,字典,5,,
sandcrush,scripts/idea/SantaClaus,cc.JsonAsset,字典,5,,
sandcrush,scripts/idea/apple,cc.JsonAsset,字典,5,,
sandcrush,scripts/idea/candle,cc.JsonAsset,字典,5,,
sandcrush,scripts/idea/car,cc.JsonAsset,字典,5,,
sandcrush,scripts/idea/gift,cc.JsonAsset,字典,5,,
sandcrush,scripts/idea/glove,cc.JsonAsset,字典,5,,
sandcrush,scripts/idea/hohoho,cc.JsonAsset,字典,5,,
sandcrush,scripts/idea/lollipop,cc.JsonAsset,字典,5,,
sandcrush,scripts/idea/oven,cc.JsonAsset,字典,5,,
sandcrush,scripts/idea/pattern1,cc.JsonAsset,字典,5,,
sandcrush,scripts/idea/sled,cc.JsonAsset,字典,5,,
sandcrush,scripts/idea/snowman,cc.JsonAsset,字典,5,,
sandcrush,scripts/idea/snowman2,cc.JsonAsset,字典,5,,
sandcrush,scripts/idea/stocking2,cc.JsonAsset,字典,5,,
sandcrush,scripts/idea/year2025,cc.JsonAsset,字典,5,,
