骨架,格式,骨骼,预览,宽,高,包围盒,姿势,setup隐藏,警告,首条警告
GameOverButtonShineEffectTrait/dragonbones/ava_saoguang_ske.json,DragonBones,2,_预览/GameOverButtonShineEffectTrait_dragonbones_ava_saoguang_ske.png,900,1930,"-281,-6~-247,68",动画首帧 in,,1,摆的是动画 in 的第 5 帧(显示插槽最多的那一帧)
HighScoreShowRainbowColorTrait/dragonbones/encourage_newhighscore_ske.json,DragonBones,147,_预览/HighScoreShowRainbowColorTrait_dragonbones_encourage_newhighscore_ske.png,900,873,"-439,-300~438,551",setup pose,,0,
HighScoreShowRainbowColorTrait/dragonbones/gameplay_combo_guangyun_ske.json,DragonBones,45,_预览/HighScoreShowRainbowColorTrait_dragonbones_gameplay_combo_guangyun_ske.png,900,900,"-188,-188~188,188",动画首帧 big,,1,摆的是动画 big 的第 3 帧(显示插槽最多的那一帧)
HighWeightBoardAroundBlinkTrait/dragonbones/gameplay_bg_skinlight_ske.json,DragonBones,247,_预览/HighWeightBoardAroundBlinkTrait_dragonbones_gameplay_bg_skinlight_ske.png,900,898,"-456,-332~499,621",setup pose,,0,
IsIncreaseEnjoyCollectionColorfulTrait/effects/gameplay_7colorwaikuang_ske.json,DragonBones,5,_预览/IsIncreaseEnjoyCollectionColorfulTrait_effects_gameplay_7colorwaikuang_ske.png,900,900,"-60,-60~60,60",setup pose,,0,
IsOpenBlockRefreshFlashEffectTrait/dragonbones/gameplay_ck_01_ske.json,DragonBones,13,_预览/IsOpenBlockRefreshFlashEffectTrait_dragonbones_gameplay_ck_01_ske.png,900,900,"-125,-125~125,125",setup pose,,0,
IsOpenClassMusicBlockTrait/dragonbones/gameplay_music_click_ske.json,DragonBones,5,_预览/IsOpenClassMusicBlockTrait_dragonbones_gameplay_music_click_ske.png,900,900,"-58,-59~58,57",setup pose,,0,
IsOpenClassMusicBlockTrait/dragonbones/gameplay_musictime_ske.json,DragonBones,31,_预览/IsOpenClassMusicBlockTrait_dragonbones_gameplay_musictime_ske.png,900,365,"-385,-134~380,164",setup pose,,0,
IsOpenEliminateSpecialEffectTrait/dragonbones/gameplay_multiline_ske.json,DragonBones,36,_预览/IsOpenEliminateSpecialEffectTrait_dragonbones_gameplay_multiline_ske.png,900,894,"-76,-72~71,74",setup pose,,0,
IsOpenResultClickEffectTrait/dragonbones/touchIcon_ske.json,DragonBones,2,_预览/IsOpenResultClickEffectTrait_dragonbones_touchIcon_ske.png,900,885,"-58,-57~59,58",setup pose,,0,
IsShowAdPicReplaceOfGuideTrait/res/eff/gameplay_guide_arrow_ske.json,DragonBones,2,_预览/IsShowAdPicReplaceOfGuideTrait_res_eff_gameplay_guide_arrow_ske.png,900,692,"-75,-48~64,58",动画首帧 arrow,,1,摆的是动画 arrow 的第 0 帧(显示插槽最多的那一帧)
JewelGameUnlockEncourageTrait/spine/gameplay_ma.json,Spine 3.8.99,68,_预览/JewelGameUnlockEncourageTrait_spine_gameplay_ma.png,900,473,"-499,-360~697,254",动画首帧 moregames,,0,
MiniGameEnterChangeColorTrait/dragonbones/icon_entrance_ske.json,DragonBones,15,_预览/MiniGameEnterChangeColorTrait_dragonbones_icon_entrance_ske.png,900,900,"-150,-150~150,150",setup pose,,0,
MoreStepGuideTrait/dragonbones/DJS_ske.json,DragonBones,5,_预览/MoreStepGuideTrait_dragonbones_DJS_ske.png,900,767,"-2,-164~196,4",setup pose,,0,
